competitorId,competitorName,firstName,lastName,gender,genderId,age,ageNull,height,heightNull,weight,weightNull,bmi,bmiNull,affiliateName,affiliateId,countryOfOriginName,countryOfOriginCode,regionName,regionId,status,statusId,year,overallRank,overallScore,openCompetitor,openRank,openScore,gamesCompetitions,openCompetitions
1055578,Akiko Kamitani,Akiko,Kamitani,F,2,30,0,154.0,0,52.0,0,21.926125822229718,0,CrossFit Minatomirai,21650,Japan,7,Asia,6,CUT,4,2019,65,26,1,897,5000,1,1
1059467,Lazar Đukić,Lazar,Đukić,M,1,25,0,182.0,0,90.0,0,27.17063156623596,0,CrossFit NS,11487,Serbia,114,Europe,4,ACT,1,2021,9,887,1,34,817,1,1
1059467,Lazar Đukić,Lazar,Đukić,M,1,26,0,182.0,0,93.0,0,28.076319285110493,0,CrossFit NS,11487,Serbia,114,Europe,4,ACT,1,2022,8,850,1,273,1598,2,2
1059467,Lazar Đukić,Lazar,Đukić,M,1,27,0,182.0,0,93.0,0,28.076319285110493,0,Nero CrossFit,20389,Serbia,114,Europe,4,ACT,1,2023,0,0,1,146,2979,2,3
1076087,Hamzeh Tarefi,Hamzeh,Tarefi,M,1,24,0,173.0,0,88.0,0,29.402920244578837,0,CrossFit Ramallah,13443,Palestinian Territory,46,Asia,6,CUT,4,2019,72,13,1,579,5000,1,1
1095623,Kila Kilaverave,Kila,Kilaverave,M,1,38,0,169.0,0,75.0,0,26.25958474843318,0,CrossFit Port Moresby,23150,Papua New Guinea,106,Oceania,7,CUT,4,2019,138,0,1,1000,5000,0,1
1105497,Guillaume Briant,Guillaume,Briant,M,1,28,0,180.0,0,93.0,0,28.703703703703702,0,CrossFit HFS,29491,France,17,Europe,4,ACT,1,2022,26,525,1,130,800,1,1
1111705,Sheena Miller,Sheena,Miller,F,2,36,0,175.0,0,70.0,0,22.857142857142858,0,CrossFit TDS (Inactive),19703,Kenya,59,Africa,5,CUT,4,2019,108,0,1,1000,5000,0,1
1119323,Ellie Turner,Ellie,Turner,F,2,23,0,167.0,0,72.0,0,25.816630212628635,0,,0,Australia,3,Oceania,7,CUT,4,2021,26,404,1,35,658,1,1
1119323,Ellie Turner,Ellie,Turner,F,2,24,0,167.0,0,72.0,0,25.816630212628635,0,Deka CrossFit,101,Australia,3,Oceania,7,ACT,1,2022,18,728,1,7,66,2,2
1119323,Ellie Turner,Ellie,Turner,F,2,25,0,167.0,0,72.0,0,25.816630212628635,0,CrossFit Fort Vancouver,1792,Australia,3,Oceania,7,ACT,1,2023,0,0,1,9,316,2,3
1119795,Jessica Borg Ghigo,Jessica,Borg Ghigo,F,2,35,0,167.0,0,70.0,0,25.099501595611173,0,,0,Malta,89,Europe,4,CUT,4,2019,78,0,1,670,5000,0,1
1120310,Josh Jorgensen,Josh,Jorgensen,M,1,19,0,177.3722891566265,1,88.37544696066746,1,28.084429605483873,1,,0,,0,,0,ACT,1,2008,89,27,0,1000,5000,1,1
1122311,Arturocesar Mora,Arturocesar,Mora,M,1,21,0,172.0,0,84.0,0,28.393726338561386,0,CrossFit FE,19970,Nicaragua,99,Central America,2,CUT,4,2019,131,0,1,1000,5000,0,1
